neighbourhood,id,host id,lat,long,Construction year,Price,service fee,minimum nights,number of reviews,reviews per month,Review Score,calculated host listings count,availability 365,distanceTimeSquare
Allerton,28718038.92783505,52304954628.50516,40.864729642886594,-73.85963070659795,2011.90625,636.34375,126.94845360824742,3.77319587628866,56.618556701030926,2.0918888888888887,3.28125,2.614583333333333,185.9684210526316,15.815551787710202
Arden Heights,33150350.888888888,40787859165.77778,40.552502222222216,-74.18011111111112,2008.555555555556,804.8888888888889,161.0,11.333333333333334,15.555555555555555,1.65,3.7777777777777777,1.0,145.11111111111111,28.24940352438452
Arrochar,32348152.807692308,45502283507.80769,40.593879134615385,-74.07389548076924,2010.884615384616,625.7647058823529,126.09615384615384,3.0384615384615383,25.346153846153847,1.3339215686274508,3.450980392156863,4.137254901960785,225.86274509803923,19.827360480238568
Arverne,32010259.17488789,49697224227.97758,40.59208105551569,-73.794679384574,2012.233183856502,652.1255605381166,130.37219730941703,4.228699551569507,34.09865470852018,1.5265686274509802,3.2286995515695067,1.9596412556053813,177.0593607305936,24.538498806162107
Astoria,28925340.54477612,48278949093.90512,40.76439053842218,-73.92029619224414,2012.4866452991453,639.0352752538749,127.7366452991453,7.024598930481283,26.816239316239315,1.3043718274111675,3.230358097274185,3.777362520021356,134.37973273942094,5.526112583798761
Bath Beach,32910054.354166668,46986662245.72917,40.60483625,-74.00890479166668,2012.7708333333333,725.2708333333334,145.10638297872342,5.25,33.875,1.7288888888888891,3.145833333333333,1.6458333333333333,200.8333333333333,17.255355866040585
Battery Park City,25802236.43220339,46903937899.22034,40.71033889830508,-74.0165161016949,2013.330508474576,591.0593220338983,117.56410256410255,33.347457627118644,12.745762711864408,0.9586567164179104,3.2288135593220337,9.186440677966102,123.3103448275862,6.014056261779427
Bay Ridge,29811257.06907895,53656489688.60855,40.63129953032895,-74.02620612289473,2012.835526315789,616.1809210526316,123.37417218543048,18.374172185430464,31.292763157894736,1.6438721804511278,3.1282894736842106,1.87,161.35593220338984,14.609870215335937
Bay Terrace,16734844.25,43989033478.25,40.78241375,-73.78215750000001,2010.375,635.0,127.0,2.625,35.125,0.8714285714285713,3.625,1.5,214.375,17.298431404885577
"Bay Terrace, Staten Island",32177428.25,54511019259.75,40.551435,-74.140495,2016.5,429.5,86.0,16.5,1.5,0.455,3.5,1.0,0.0,26.53349631938769
Baychester,30761374.06896552,53605457948.37931,40.87396379310346,-73.84307999999999,2012.6896551724133,524.0,104.82758620689656,5.206896551724138,39.241379310344826,2.08037037037037,3.5172413793103448,1.6206896551724137,188.9655172413793,17.513082414673676
Bayside,33054511.951612905,48487756734.564514,40.76065562903226,-73.76896653225806,2012.024193548387,562.5322580645161,112.49193548387096,8.520325203252032,29.93548387096774,1.7854054054054052,3.2419354838709675,2.934959349593496,170.61290322580646,18.22876171319941
Bayswater,31230275.3,42241725951.175,40.60632075,-73.76319074999999,2012.15,582.625,116.5,7.475,14.275,1.979,3.475,1.5,215.02631578947367,25.26360693029943
Bedford-Stuyvesant,29377099.34269876,49202976288.79942,40.68715750144261,-73.93950670801689,2012.5888369743648,622.9834616841308,124.55221238938051,6.734791956494246,34.430338213023724,1.547313731087639,3.281277616462568,2.934738702347892,132.11228344405367,8.902963603706475
Belle Harbor,32635547.774193548,57990495075.6129,40.57754774193549,-73.84625032258064,2010.6774193548388,600.741935483871,120.12903225806453,7.419354838709677,29.516129032258064,1.5015384615384617,3.161290322580645,1.967741935483871,196.4333333333333,23.323058983340868
Bellerose,29035914.0,46888892449.30769,40.73036076923077,-73.72541923076923,2010.9615384615383,622.2307692307693,124.5,1.8846153846153848,15.153846153846152,1.1068421052631578,3.3846153846153846,1.3076923076923077,232.2083333333333,22.11394372117185
Belmont,29838318.2,48189812320.2,40.85486503866667,-73.88751834266667,2012.8,672.4888888888889,132.47727272727272,2.844444444444445,19.22222222222222,1.9335,3.2888888888888888,1.5555555555555556,179.77777777777777,13.469937727751775
Bensonhurst,29165684.57961784,47856981006.248405,40.612039834394906,-73.99302381528663,2012.095541401274,591.9108280254777,118.35031847133756,6.75796178343949,32.210191082802545,1.406861313868613,3.2774193548387096,2.006369426751593,164.4437086092715,16.35925199203629
Bergen Beach,32615061.666666668,47442956341.96667,40.62470533333335,-73.909561,2009.4666666666667,583.3,116.56666666666666,4.833333333333333,31.33333333333333,1.7933333333333334,2.833333333333333,1.3666666666666667,162.93333333333334,16.228177275394216
Boerum Hill,27548283.50558659,49083105903.91899,40.68640825418994,-73.98541047486033,2012.450980392157,627.0251396648044,124.91573033707866,8.860335195530727,30.094972067039105,1.0839802631578948,3.2905027932960893,2.539106145251397,109.56851311953352,8.065840820692982
Borough Park,30816342.71268657,46727101413.20896,40.63738855597015,-73.99718625373134,2012.44776119403,610.9213483146067,122.66666666666669,5.127340823970037,19.745318352059925,1.2274107142857142,3.4831460674157304,3.977611940298508,184.44827586206893,13.564910353742093
Breezy Point,34659357.222222224,47069602842.888885,40.56628555555555,-73.86984000000001,2016.2222222222224,309.8888888888889,61.77777777777778,1.2222222222222223,3.111111111111111,0.4614285714285713,3.111111111111111,2.4444444444444446,187.11111111111111,23.5216960668602
Briarwood,31397025.04132232,50125250547.47934,40.710068576528926,-73.81370193785125,2013.685950413223,703.5798319327731,140.13223140495867,4.338842975206612,27.049586776859503,1.6079207920792078,3.5289256198347108,3.677685950413223,171.3613445378151,15.434024188738828
Brighton Beach,31826287.23214286,47076523978.041664,40.57857607142857,-73.96097488095239,2010.9281437125749,658.3988095238095,131.67857142857142,5.589285714285714,22.49404761904762,1.513904109589041,3.4047619047619047,2.0535714285714284,179.23353293413174,20.15753588343211
Bronxdale,31896296.104166668,50261474190.0625,40.85500875,-73.86604479166668,2011.4583333333333,574.1702127659574,114.97872340425532,6.0625,32.0,1.5329545454545452,3.208333333333333,1.4166666666666667,168.14583333333334,14.652465062426748
Brooklyn Heights,28712959.853896104,46553915106.33442,40.69473142857142,-73.99431068181819,2012.73051948052,601.3506493506494,120.24350649350647,8.677631578947368,20.87987012987013,0.921220472440945,3.150326797385621,1.0844155844155845,88.5896551724138,7.178269050314021
Brownsville,30269179.88311688,50327274211.707794,40.66414896103896,-73.91384642857142,2012.8496732026144,671.5194805194806,134.2987012987013,3.30718954248366,33.77272727272727,1.7819594594594597,3.4836601307189543,2.2091503267973858,143.35761589403972,12.137904643469453
Bull's Head,32215445.166666668,54755708100.75,40.60006166666667,-74.1665325,2011.5,574.25,114.83333333333331,14.583333333333334,15.5,2.036666666666666,3.9166666666666665,2.333333333333333,135.5,23.373272791207985
Bushwick,29571665.17121638,48955177135.80952,40.69642179735046,-73.92018262343437,2012.5932475884244,633.3385018123238,126.5538988515011,7.827829238824004,24.90179110485007,1.3607478218780251,3.276056338028169,3.470185334407736,115.9123207978392,8.857571130988543
Cambria Heights,31737935.63291139,48473579419.05064,40.69433183493671,-73.73615099050632,2013.8461538461536,690.7215189873418,138.0379746835443,3.3797468354430378,29.835443037974684,1.720166666666667,3.3417721518987342,1.6455696202531649,152.71621621621622,22.18276454706269
Canarsie,30891449.298507463,47223971315.85323,40.63884260199005,-73.9015901442786,2012.3432835820893,628.0947630922693,125.4179104477612,3.446384039900249,43.09701492537314,2.0890314136125654,3.393034825870646,1.9800995024875625,221.8510101010101,15.110443530124614
Carroll Gardens,27658353.83924844,47861772504.36534,40.68077331941545,-73.99605098121087,2012.5511482254697,643.6464435146444,128.38025210084032,6.30672268907563,32.9832285115304,1.1909715639810428,3.2698744769874475,1.4008350730688934,97.81441048034937,8.7392029292372
Castle Hill,31398321.27272728,41206387473.681816,40.81762181818181,-73.84722545454544,2010.7272727272727,485.1818181818182,97.0909090909091,2.1818181818181817,27.59090909090909,3.31875,3.0454545454545454,4.818181818181818,178.25,13.323648639252305
Castleton Corners,31530695.769230768,59317253954.23077,40.6193476923077,-74.12367923076921,2008.3076923076924,417.2307692307692,83.38461538461539,6.230769230769231,33.84615384615385,1.485,3.3846153846153846,1.1538461538461535,135.16666666666666,19.429428832863703
Chelsea,28622875.675273523,49756437454.46784,40.74491507657331,-73.99784063956236,2012.227531784305,633.5008771929824,126.83757682177348,10.889135254988911,26.004387889425185,1.413131749460043,3.262949956101844,14.25274243089074,136.594768242313,1.92200512027175
"Chelsea, Staten Island",30348901.0,55782178700.0,40.59116,-74.1858,2016.0,1042.0,208.0,3.0,31.0,3.1,2.0,1.0,164.0,25.18452352680196
Chinatown,29881138.01392405,49034958486.71392,40.7156718607595,-73.99404544303798,2012.6215189873417,629.9263959390863,126.20886075949367,7.462515883100381,27.719898605830164,1.3015112994350282,3.1926020408163267,4.028132992327365,115.41720990873532,4.871120760014717
City Island,29368245.36585366,45265004183.70731,40.84807195121952,-73.78705268292683,2012.4146341463413,647.2926829268292,129.41463414634146,3.341463414634146,48.8780487804878,1.9138888888888888,3.707317073170732,1.4634146341463414,175.73684210526315,19.40723758023764
